Date,Check Number,Description,Type,Charge,Debit,Credit,Running Balance
3/15/19,0, CRACKER B 3316             WINT,Food,8.39,8.39,0,419.94
3/15/19,0, QUIKTRIP                   DULU,Gasoline,10.35,10.35,0,428.33
3/18/19,0, 7-ELEVEN                   WINT,Food,0.99,0.99,0,355.12
3/18/19,0, ATM CASH WITHDRAWAL FEE  ,Other Fee,3,3,0,305.13
3/18/19,0, ZAXBY S #60201             OCOE,Food,3.16,3.16,0,356.11
3/18/19,0, SQUARE INC       DENZE      T20,Money Transfer - Debit,4,4,0,285.51
3/18/19,0, SPEEDWAY 06909             WINT,Food,4.49,4.49,0,389.75
3/18/19,0, SQUARE INC       DENZE      T20,Money Transfer - Debit,5,5,0,280.51
3/18/19,0, SUBWAY        00598474     ATLA,Food,5.44,5.44,0,414.5
3/18/19,0, ZAXBY S #60201             OCOE,Food,8.24,8.24,0,359.27
3/18/19,0, SICILY PIZZA               DAYT,Food,8.42,8.42,0,367.51
3/18/19,0, WENDY S #11721             WINT,Food,13.82,13.82,0,375.93
3/18/19,0, FLASH FDS 272              VALD,Gasoline,15.62,15.62,0,289.51
3/18/19,0, CITGO                      VALD,Gasoline,20.26,20.26,0,394.24
3/18/19,0, 0318 RT22007          000000001,Gasoline,23,23,0,308.13
3/18/19,0, 7-ELEVEN                   WINT,Gasoline,23.99,23.99,0,331.13
3/20/19,0, SQUARE INC       LAJOY      T20,Money Transfer - Debit,20,20,0,213.16
3/20/19,0, QUIKTRIP                   DULU,Gasoline,23.5,23.5,0,257.01
3/20/19,0, ZIN LENOX P2P              ATLA,Food,23.85,23.85,0,233.16
3/21/19,0, LA PARRILLA #14            NORC,Food,40,40,0,173.16
3/25/19,0, PAYPAL           VERIFYBANK    ,Money Transfer - Credit,0.1,0,0.1,173.26
3/25/19,0, PAYPAL           VERIFYBANK    ,Money Transfer - Credit,0.19,0,0.19,173.45
3/25/19,0, PAYPAL           TRANSFER      ,Money Transfer - Credit,100,0,100,273.45
3/25/19,0, PAYPAL           VERIFYBANK 100,Money Transfer - Debit,0.29,0.29,0,263.06
3/25/19,0, THE HOME DEPOT             DULU,Housing - Repair,10.1,10.1,0,263.35
3/26/19,0, SQUARE INC       JAHMI      T20,Money Transfer - Debit,2.5,2.5,0,254.96
3/26/19,0, GSU PANTHER DINING RET     ATLA,Food,2.71,2.71,0,260.35
3/26/19,0, GSU PANTHER DINING RET     ATLA,Food,2.89,2.89,0,257.46
3/26/19,0, VENMO            PAYMENT    188,Money Transfer - Debit,25,25,0,229.96
3/27/19,0, KROGER 38 3455             DULU,Food,1.92,1.92,0,218.81
3/27/19,0, DAIRY QUEEN #41248         NORC,Food,4.23,4.23,0,225.73
3/27/19,0, GSU PARKING DECK SKN       ATLA,Transportation,5,5,0,220.73
3/28/19,0, ROSAS PIZZA I              ATLA,Food,2.45,2.45,0,216.36
3/28/19,0, CHEVRON 0380929            ATLA,Gasoline,10.03,10.03,0,206.33
3/29/19,0, CMSVEND*GEORGIA VENDIN     ALPH,Food,1.75,1.75,0,193.39
3/29/19,0, GSU PARKING DECK SKN       ATLA,Transportation,5,5,0,201.33
3/29/19,0, QUIZNOS #4562              ATLA,Food,6.19,6.19,0,195.14
3/29/19,0, QUIKTRIP                   DULU,Gasoline,26.41,26.41,0,166.98
4/1/19,0, GSU PARKING DECK G         ATLA,Transportation,2,2,0,164.98
4/1/19,0, VIP BILLIARDS              DULU,Entertainment,27,27,0,137.98
4/2/19,0, GSU PANTHER DINING RET     ATLA,Food,3.8,3.8,0,129.18
4/2/19,0, GSU PARKING DECK SKN       ATLA,Transportation,5,5,0,132.98
4/2/19,0, SQU*SQ *THE TAQUERIA O     ATLA,Food,11.49,11.49,0,117.69
4/3/19,0, GSU PARKING DECK SKN       ATLA,Transportation,2,2,0,115.69
4/4/19,0, GSU PANTHER DINING RET     ATLA,Food,2.89,2.89,0,101.23
4/4/19,0, GSU PARKING DECK SKN       ATLA,Transportation,5,5,0,104.12
4/4/19,0, FELLINI S PIZZA-PONCE      ATLA,Food,6.57,6.57,0,109.12
